n,minpts,time
500,10,0.1440301
1000,10,0.2041814
1500,10,0.4401178
2000,10,0.6073294
2500,10,1.055038
3000,10,1.289466
3500,10,2.066466
4000,10,2.719258
4500,10,3.400096
5000,10,4.224967
5500,10,8.132959
6000,10,5.360083
6500,10,18.48909
7000,10,8.626942
7500,10,7.415933
8000,10,7.309857
8500,10,7.592597
9000,10,40.55765
9500,10,36.23605
10000,10,15.03415
10500,10,11.99634
11000,10,14.54538
11500,10,19.91658
12000,10,30.37423
12500,10,37.38878
13000,10,104.1358
13500,10,133.0013
14000,10,153.6835
