dataset,k,silhuette_avg.width,sse,time
tp1,2,0.3409655,21646.57,3.62204
tp1,3,0.3310289,15930.06,2.829598
tp1,4,0.2614486,13322.43,5.63476
tp1,5,0.2292683,12010.72,6.435118
tp1,6,0.2086443,11095.35,4.792816
tp1,7,0.2073408,10142.19,11.79006
tp1,8,0.2017264,9569.524,12.25898
tp1,9,0.1951615,9151.246,12.18421
tp1,10,0.1817028,8748.257,12.10661
tp1,11,0.1917717,8069.939,18.29415
tp1,12,0.1882964,7831.825,12.8354
tp1,13,0.192351,7355.684,12.26618
tp1,14,0.182246,7101.574,26.11737
tp1,15,0.183303,6943.354,27.19796
tp1,16,0.16322,6797.408,27.58054
tp1,17,0.1737696,6462.062,51.0052
tp1,18,0.1820755,6306.473,42.08507
tp1,19,0.1690034,6206.964,62.66842
tp1,20,0.1682252,6108.292,48.96215
