n,xgrid,ygrid,time
500,4,4,0.04119301
1000,4,4,0.07398415
1500,4,4,0.0727675
2000,4,4,0.2133114
2500,4,4,0.2464378
3000,4,4,0.2652867
3500,4,4,0.2907369
4000,4,4,0.3016336
4500,4,4,0.1980286
5000,4,4,0.348254
5500,4,4,0.3752451
6000,4,4,0.3893642
6500,4,4,0.4061909
7000,4,4,0.4335704
7500,4,4,0.463624
8000,4,4,0.4875724
8500,4,4,0.5036166
9000,4,4,0.5250645
9500,4,4,0.5695965
10000,4,4,0.5712731
10500,4,4,0.5787599
11000,4,4,0.5917535
11500,4,4,0.6287661
12000,4,4,0.6446762
12500,4,4,0.6796277
13000,4,4,0.6748705
13500,4,4,0.7085879
14000,4,4,0.7254438
